DATE,CSUSHPISA
2000-01-01,100.551
2000-02-01,101.339
2000-03-01,102.12700000000001
2000-04-01,102.92200000000001
2000-05-01,103.677
2000-06-01,104.42399999999999
2000-07-01,105.054
2000-08-01,105.76799999999999
2000-09-01,106.538
2000-10-01,107.382
2000-11-01,108.301
2000-12-01,109.14
2001-01-01,109.846
2001-02-01,110.5
2001-03-01,111.109
2001-04-01,111.65100000000001
2001-05-01,112.163
2001-06-01,112.796
2001-07-01,113.491
2001-08-01,114.167
2001-09-01,114.811
2001-10-01,115.309
2001-11-01,115.85600000000001
2001-12-01,116.455
2002-01-01,117.14299999999999
2002-02-01,117.845
2002-03-01,118.68700000000001
2002-04-01,119.61
2002-05-01,120.72399999999999
2002-06-01,121.81200000000001
2002-07-01,122.887
2002-08-01,123.831
2002-09-01,124.779
2002-10-01,125.734
2002-11-01,126.669
2002-12-01,127.62299999999999
2003-01-01,128.46
2003-02-01,129.355
2003-03-01,130.148
2003-04-01,130.884
2003-05-01,131.734
2003-06-01,132.649
2003-07-01,133.77700000000002
2003-08-01,134.968
2003-09-01,136.29399999999998
2003-10-01,137.532
2003-11-01,138.793
2003-12-01,140.179
2004-01-01,141.64600000000002
2004-02-01,143.191
2004-03-01,145.059
2004-04-01,146.592
2004-05-01,148.185
2004-06-01,149.85
2004-07-01,151.338
2004-08-01,152.634
2004-09-01,154.179
2004-10-01,155.75
2004-11-01,157.52700000000002
2004-12-01,159.33
2005-01-01,161.28799999999998
2005-02-01,163.344
2005-03-01,165.812
2005-04-01,167.50099999999998
2005-05-01,169.35
2005-06-01,171.19
2005-07-01,172.859
2005-08-01,174.44299999999998
2005-09-01,176.437
2005-10-01,178.02700000000002
2005-11-01,179.68
2005-12-01,180.91
2006-01-01,182.32
2006-02-01,183.287
2006-03-01,184.364
2006-04-01,184.329
2006-05-01,184.15599999999998
2006-06-01,183.507
2006-07-01,183.067
2006-08-01,182.59599999999998
2006-09-01,182.798
2006-10-01,183.19799999999998
2006-11-01,183.609
2006-12-01,184.138
2007-01-01,184.516
2007-02-01,184.59799999999998
2007-03-01,184.149
2007-04-01,183.01
2007-05-01,181.6
2007-06-01,180.25400000000002
2007-07-01,179.111
2007-08-01,178.11700000000002
2007-09-01,177.558
2007-10-01,176.62400000000002
2007-11-01,175.14700000000002
2007-12-01,174.342
2008-01-01,173.132
2008-02-01,171.54
2008-03-01,170.053
2008-04-01,168.338
2008-05-01,166.65900000000002
2008-06-01,165.017
2008-07-01,163.566
2008-08-01,161.988
2008-09-01,160.308
2008-10-01,158.326
2008-11-01,156.141
2008-12-01,153.618
2009-01-01,151.506
2009-02-01,150.014
2009-03-01,148.66
2009-04-01,147.94799999999998
2009-05-01,147.695
2009-06-01,148.09
2009-07-01,148.409
2009-08-01,148.27700000000002
2009-09-01,148.024
2009-10-01,147.849
2009-11-01,148.134
2009-12-01,147.929
2010-01-01,147.395
2010-02-01,145.631
2010-03-01,145.859
2010-04-01,146.404
2010-05-01,146.394
2010-06-01,145.72
2010-07-01,144.99
2010-08-01,143.915
2010-09-01,143.018
2010-10-01,142.531
2010-11-01,142.172
2010-12-01,142.061
2011-01-01,141.52200000000002
2011-02-01,140.351
2011-03-01,139.982
2011-04-01,140.01
2011-05-01,139.905
2011-06-01,139.861
2011-07-01,139.73
2011-08-01,139.308
2011-09-01,138.66899999999998
2011-10-01,137.953
2011-11-01,137.153
2011-12-01,136.675
2012-01-01,136.608
2012-02-01,136.534
2012-03-01,137.905
2012-04-01,139.155
2012-05-01,140.155
2012-06-01,141.03
2012-07-01,141.66899999999998
2012-08-01,142.28
2012-09-01,142.909
2012-10-01,143.602
2012-11-01,144.586
2012-12-01,145.503
2013-01-01,146.828
2013-02-01,147.784
2013-03-01,149.964
2013-04-01,151.519
2013-05-01,152.849
2013-06-01,154.196
2013-07-01,155.602
2013-08-01,156.966
2013-09-01,158.227
2013-10-01,159.24200000000002
2013-11-01,160.07399999999998
2013-12-01,160.994
2014-01-01,161.929
2014-02-01,162.52700000000002
2014-03-01,163.089
2014-04-01,163.39600000000002
2014-05-01,163.66299999999998
2014-06-01,164.05599999999998
2014-07-01,164.574
2014-08-01,165.217
2014-09-01,165.907
2014-10-01,166.644
2014-11-01,167.33700000000002
2014-12-01,168.053
2015-01-01,168.637
2015-02-01,169.13299999999998
2015-03-01,169.803
2015-04-01,170.301
2015-05-01,170.88400000000001
2015-06-01,171.457
2015-07-01,172.125
2015-08-01,172.93900000000002
2015-09-01,173.83
2015-10-01,174.794
2015-11-01,175.74099999999999
2015-12-01,176.546
2016-01-01,177.275
2016-02-01,177.65400000000002
2016-03-01,178.171
2016-04-01,178.771
2016-05-01,179.433
2016-06-01,180.065
2016-07-01,180.824
2016-08-01,181.855
2016-09-01,182.829
2016-10-01,183.757
2016-11-01,184.766
2016-12-01,185.72400000000002
2017-01-01,186.80200000000002
2017-02-01,187.317
2017-03-01,187.997
2017-04-01,188.734
2017-05-01,189.628
2017-06-01,190.498
2017-07-01,191.44
2017-08-01,192.683
2017-09-01,193.778
2017-10-01,194.81900000000002
2017-11-01,195.957
2017-12-01,197.16
2018-01-01,198.291
2018-02-01,199.21599999999998
2018-03-01,199.96200000000002
2018-04-01,200.669
2018-05-01,201.447
2018-06-01,202.236
2018-07-01,202.907
2018-08-01,203.735
2018-09-01,204.398
2018-10-01,205.145
2018-11-01,205.673
2018-12-01,206.11700000000002
2019-01-01,206.47799999999998
2019-02-01,206.8
2019-03-01,207.041
2019-04-01,207.52700000000002
2019-05-01,208.197
2019-06-01,208.69299999999998
2019-07-01,209.283
2019-08-01,210.183
2019-09-01,210.989
2019-10-01,211.845
2019-11-01,212.774
2019-12-01,213.83900000000003
2020-01-01,214.864
